	Gene ID	Gene Name	flight1	flight2	flight3	ground1	ground2	ground3
33034	AT5G67570	DG1	10.316539	9.204797	7.289517	7.082105	8.224139	8.259395
33035	AT5G67580	TRB2	17.292791	15.201516	17.077288	19.680613	18.985025	14.438427
33036	AT5G67590	FRO1	168.14418	156.043427	178.862122	230.638107	182.216034	199.790848
33037	AT5G67600	AT5G67600	130.130493	157.310425	173.911728	167.890717	134.556763	160.64241
33038	AT5G67610	AT5G67610	9.991951	12.130119	9.791235	16.139757	13.071755	12.88294
33039	AT5G67620	AT5G67620	8.967493	10.199089	9.283028	15.230521	16.669809	21.494474
33040	AT5G67630	AT5G67630	20.945429	24.893847	19.514114	33.968666	26.954109	31.401028
33041	AT5G67640	AT5G67640	6.114246	6.351165	4.012919	7.849559	7.628982	7.885887
33042	ATMG00010	ORF153A	0.317416	0.0	0.207941	0.039333	1.354948	0.0
33043	ATMG00020	RRN26	2524.51123	2393.837646	2363.343018	2060.742432	3169.157715	2637.4021
33044	ATMG00030	ORF107A	1180.379639	1025.475708	1012.36792	937.768066	1609.006104	1511.133179
33045	ATMG00040	ORF315	0.406155	0.318585	0.224294	0.340544	0.656579	0.285928
33046	ATMG00050	ORF131	0.0	0.0	0.0	0.0	0.0	0.0
33047	ATMG00060	NAD5C	16.240915	15.462068	15.845611	9.535918	21.264465	15.173724
33048	ATMG00070	NAD9	15.102779	4.837897	10.208426	8.606504	15.179452	9.658345
33049	ATMG00080	RPL16	11.655951	6.194627	9.54458	7.467577	14.138853	6.531394
33050	ATMG00090	ATMG00090	16.929571	7.815179	10.386012	9.697085	18.688349	8.598638
33051	ATMG00100	TRNK.1	0.0	0.501193	0.0	0.456891	0.002476	0.227034
33052	ATMG00110	CCB206	0.626868	0.597719	1.052214	1.225198	1.609714	3.206646
33053	ATMG00120	ORF143	1.34984	0.439472	0.0	0.0	0.229388	0.0
33054	ATMG00130	ORF121A	0.0	0.0	0.0	0.244678	0.748343	0.20336
33055	ATMG00140	ORF167	0.113153	0.0	0.0	0.290867	1.155982	0.265064
33056	ATMG00150	ORF116	1.046002	0.563735	0.0	0.953677	0.551169	0.520827
33057	ATMG00160	COX2	10.918083	6.239895	10.24467	9.815413	19.05476	8.081748
33058	ATMG00170	ORF139A	0.0	0.517145	0.667426	0.510545	1.17956	1.081493
33059	ATMG00180	CCB452	2.35285	3.17931	1.507419	1.691417	2.210165	2.245125
33060	ATMG00190	TRNG	0.885544	0.0	0.3023	0.242859	0.525707	0.135737
33061	ATMG00200	ORF107B	2.96507	0.123442	1.767284	1.117744	3.982353	0.29467
33062	ATMG00210	RPL5	11.839692	4.783247	4.373843	7.058907	9.775163	7.382368
33063	ATMG00220	COB	6.498749	5.010505	7.563346	4.121971	9.981972	6.371133
33064	ATMG00230	TRNS.1	0.0	0.112031	0.0	0.0	0.0	0.0
33065	ATMG00240	ORF111A	0.0	0.0	0.0	0.566002	0.0	0.0
33066	ATMG00250	TRNM.1	1.062653	0.0	0.0	0.700223	0.0	0.164242
33067	ATMG00260	ORF101A	0.0	0.651878	0.0	0.477571	0.0	0.240773
33068	ATMG00270	NAD6	4.418622	5.065127	4.308104	5.593268	9.091846	5.235507
33069	ATMG00280	ORF110A	0.243325	0.063816	0.0	0.818502	1.581463	0.0
33070	ATMG00285	NAD2A	6.961941	6.837118	5.002823	4.352296	6.233336	1.968526
33071	ATMG00290	RPS4	2.306298	1.90941	1.73357	1.177461	2.649535	1.774348
33072	ATMG00300	ORF145A	0.603302	0.499591	0.786032	0.17324	0.155582	0.284366
33073	ATMG00310	ORF154	0.0	0.180968	0.0	0.016638	1.027955	0.045441
33074	ATMG00320	ORF127	0.0	0.0	0.0	0.0	0.0	1.318117
33075	ATMG00330	TRNS.2	1.451085	0.0	0.185578	0.803233	0.97674	0.766466
33076	ATMG00340	TRNY.1	0.0	0.0	0.193543	1.932263	0.558564	0.0
33077	ATMG00350	TRNP	0.0	0.0	0.705105	0.0	0.63961	0.360933
33078	ATMG00360	TRNC	0.0	0.0	0.269059	0.0	0.596222	0.876451
33079	ATMG00370	ORF199	1.280556	1.82125	0.990938	1.447099	3.138136	1.437071
33080	ATMG00380	TRNN	2.553795	0.0	0.0	0.112826	1.827256	0.0
33081	ATMG00390	TRNY.2	0.0	0.0	0.0	0.013369	0.0	0.0
33082	ATMG00400	ORF157	1.296556	1.482114	0.709141	1.045893	1.2297	1.885786
