gene_id	gene_name	flight1	flight2	flight3	ground1	ground2	ground3
AT2G18950	HPT1	4.705674	5.628748	3.869681	7.823843	6.744877	7.300316
AT2G18960	AHA1	220.291428	256.293427	206.348969	221.087112	213.138779	202.080917
AT2G18969	AT2G18969	2.324739	0.0	0.0	0.786224	2.306136	2.118435
AT2G18970	AT2G18970	0.0	4.893726	0.0	1.590239	2.046575	0.0
AT2G18980	PER16	128.866959	89.700989	105.298576	138.090439	87.145477	110.888969
AT2G18990	TXND9	27.868439	26.542677	24.939096	56.098438	47.828468	43.931786
AT2G19050	AT2G19050	6.72191	5.120141	7.101974	5.676816	5.713472	5.894699
AT2G19060	AT2G19060	28.662022	38.243114	41.505848	37.045353	26.138046	36.131241
AT2G19070	SHT	0.0	0.0	0.0	0.0	0.0	0.0
AT2G19080	MTX1	42.033516	44.915161	37.043053	47.857029	40.38472	42.705013
AT2G19090	AT2G19090	4.247598	5.187546	3.780242	6.66319	5.952297	5.517929
AT2G19100	AT2G19100	0.093064	0.0	0.0	0.0	0.0	0.0
AT2G19110	HMA4	104.008636	63.697445	85.909782	39.927315	49.392975	49.370956
AT2G19120	AT2G19120	1.822924	1.395684	1.605868	3.262052	2.867805	2.846703
AT2G19130	AT2G19130	9.072441	11.449804	13.236468	11.352785	12.796524	11.911029
AT2G19150	PME10	2.779067	3.716726	0.98924	3.949492	5.923642	4.266388
