gene_id	transcript_id(s)	flight1	flight2	flight3	ground1	ground2	ground3
AT4G26410	AT4G26410.1	41.80	50.42	53.61	60.46	40.75	51.33
AT4G26420	AT4G26420.1,AT4G26420.2	0.00	0.00	0.00	0.00	0.00	0.00
AT4G26430	AT4G26430.1	4.25	7.84	6.20	12.53	8.13	8.66
AT4G26440	AT4G26440.1	0.00	0.18	0.00	0.00	0.00	0.00
AT4G26450	AT4G26450.1	24.02	27.32	28.23	27.64	26.19	24.83
AT4G26455	AT4G26455.1	18.84	22.72	17.86	21.82	23.00	21.26
AT4G26460	AT4G26460.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G26466	AT4G26466.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G26470	AT4G26470.1,AT4G26470.2	17.07	19.38	19.51	37.57	24.54	31.70
AT4G26480	AT4G26480.1	42.72	48.60	44.97	30.94	34.35	27.77
AT4G26483	AT4G26483.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G26485	AT4G26485.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G26488	AT4G26488.1	0.00	0.64	0.54	0.33	0.86	0.03
AT4G26490	AT4G26490.1	1.72	3.40	2.55	4.22	3.58	4.81
AT4G26500	AT4G26500.1	11.09	10.14	9.38	9.13	10.59	7.96
AT4G26510	AT4G26510.1,AT4G26510.2	9.37	8.48	8.35	12.09	9.51	10.90
AT4G26520	AT4G26520.1	0.04	0.19	0.09	0.45	0.89	0.65
AT4G26530	AT4G26530.1,AT4G26530.2	0.00	0.00	0.00	0.03	0.00	0.00
AT4G26540	AT4G26540.1	11.84	10.17	9.91	11.09	10.13	8.11
AT4G26542	AT4G26542.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G26550	AT4G26550.1	16.84	8.73	18.03	13.71	7.48	12.54
AT4G26555	AT4G26555.1	13.78	13.13	13.04	6.99	9.47	5.07
AT4G26560	AT4G26560.1	0.35	0.47	0.47	0.00	0.95	0.00
AT4G26570	AT4G26570.1,AT4G26570.2	71.38	77.43	73.93	67.47	69.21	69.01
AT4G26580	AT4G26580.1,AT4G26580.2	2.49	3.35	3.09	1.07	2.81	2.63
AT4G26582	AT4G26582.1	1.38	2.55	3.43	1.78	1.84	0.41
AT4G26590	AT4G26590.1	1.15	0.00	0.68	0.96	0.79	0.92
AT4G26600	AT4G26600.1	5.59	4.19	4.44	11.77	8.89	8.43
AT4G26610	AT4G26610.1	14.86	19.01	17.69	17.06	14.60	12.23
AT4G26620	AT4G26620.1	34.75	37.13	34.40	25.07	22.70	21.29
AT4G26630	AT4G26630.1,AT4G26630.2	92.16	99.62	86.28	87.40	79.20	86.65
AT4G26640	AT4G26640.1,AT4G26640.2	16.27	18.18	19.24	12.12	16.56	13.57
AT4G26650	AT4G26650.1,AT4G26650.2	36.34	35.91	32.15	36.24	27.59	26.94
AT4G26660	AT4G26660.1	7.57	7.94	7.32	15.92	9.77	11.37
AT4G26670	AT4G26670.1	15.23	11.77	16.40	16.78	17.00	12.10
AT4G26675	AT4G26675.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G26680	AT4G26680.1,AT4G26680.2	0.96	0.39	0.57	0.99	0.90	0.25
AT4G26690	AT4G26690.1	34.02	31.60	34.05	27.61	27.28	28.80
AT4G26700	AT4G26700.1,AT4G26700.2,AT4G26700.3	2.88	3.22	3.27	3.43	3.32	3.50
AT4G26701	AT4G26701.1	0.00	0.00	0.00	0.00	0.00	0.56
AT4G26710	AT4G26710.1,AT4G26710.2	215.57	242.93	246.90	186.92	187.58	210.06
AT4G26720	AT4G26720.1	21.58	27.08	19.88	23.87	22.06	15.51
AT4G26730	AT4G26730.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G26740	AT4G26740.1	0.00	0.00	0.00	0.48	0.00	0.00
AT4G26750	AT4G26750.1	25.42	28.69	30.52	22.74	21.71	20.72
AT4G26760	AT4G26760.1	19.20	13.29	15.61	28.56	16.52	14.74
AT4G26770	AT4G26770.1	1.59	1.92	3.07	2.14	1.44	2.17
AT4G26780	AT4G26780.1	9.34	11.58	6.84	25.23	12.28	18.71
AT4G26790	AT4G26790.1,AT4G26790.2	3.41	9.78	2.76	7.10	5.89	9.84
AT4G26795	AT4G26795.1,AT4G26795.2	1.80	1.35	0.84	1.60	1.50	1.01
AT4G26800	AT4G26800.1	0.39	0.17	0.94	1.05	1.32	1.70
AT4G26810	AT4G26810.1,AT4G26810.2	11.95	11.47	10.64	19.62	13.13	12.53
AT4G26820	AT4G26820.1	0.00	0.00	0.00	0.45	0.10	0.00
AT4G26830	AT4G26830.1	0.59	0.48	0.43	0.27	0.45	0.21
AT4G26840	AT4G26840.1	118.72	122.57	130.22	169.65	126.12	162.29
AT4G26850	AT4G26850.1	22.91	46.88	21.27	31.65	28.65	33.75
AT4G26860	AT4G26860.1,AT4G26860.2	16.85	20.71	18.21	11.70	14.26	9.74
AT4G26870	AT4G26870.1	31.48	28.54	29.42	39.47	28.64	29.48
AT4G26880	AT4G26880.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G26890	AT4G26890.1	3.27	5.48	4.56	4.66	4.48	3.06
AT4G26900	AT4G26900.1	18.41	17.02	17.93	26.35	18.44	17.59
AT4G26910	AT4G26910.1,AT4G26910.2,AT4G26910.3	58.66	56.48	56.18	73.34	58.78	62.05
AT4G26920	AT4G26920.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G26930	AT4G26930.1	0.00	0.00	0.00	0.00	0.00	0.24
AT4G26940	AT4G26940.1,AT4G26940.2	48.53	51.69	42.96	50.68	44.00	50.13
AT4G26950	AT4G26950.1,AT4G26950.2	0.00	0.32	0.77	0.35	1.23	0.54
AT4G26960	AT4G26960.1	11.48	9.70	9.68	9.92	9.15	7.99
AT4G26965	AT4G26965.1,AT4G26965.2	10.99	13.41	11.51	12.88	10.46	14.62
AT4G26970	AT4G26970.1	94.27	98.11	98.47	112.54	106.04	121.90
AT4G26980	AT4G26980.1	4.77	8.05	6.31	6.72	6.15	7.44
AT4G26990	AT4G26990.1	3.65	4.36	2.66	6.90	6.53	4.52
AT4G27000	AT4G27000.1	116.87	138.38	128.19	100.48	94.67	89.83
AT4G27010	AT4G27010.1,AT4G27010.2	1.38	1.39	1.32	2.86	2.15	2.00
AT4G27020	AT4G27020.1	19.43	26.32	28.10	14.08	15.35	17.87
AT4G27030	AT4G27030.1	4.50	19.48	6.11	17.35	10.11	17.99
AT4G27040	AT4G27040.1,AT4G27040.2,AT4G27040.3,AT4G27040.4	25.32	21.91	21.47	18.05	23.07	21.23
AT4G27050	AT4G27050.1,AT4G27050.2,AT4G27050.3,AT4G27050.4	7.68	5.84	8.07	8.23	8.77	7.76
AT4G27052	AT4G27052.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G27060	AT4G27060.1	16.20	11.61	12.14	13.91	12.16	10.30
AT4G27070	AT4G27070.1	6.61	7.99	6.28	12.57	7.52	9.42
AT4G27080	AT4G27080.1,AT4G27080.2	25.05	29.34	30.00	30.80	23.68	25.28
AT4G27090	AT4G27090.1	1336.92	1246.59	1523.03	2022.99	1544.81	1724.78
AT4G27100	AT4G27100.1,AT4G27100.2	9.58	5.84	10.53	6.71	5.03	5.22
AT4G27110	AT4G27110.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G27120	AT4G27120.1,AT4G27120.2	37.57	34.05	31.44	35.38	32.44	31.55
AT4G27130	AT4G27130.1	213.25	229.53	223.39	156.29	175.19	145.90
AT4G27140	AT4G27140.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G27150	AT4G27150.1	0.00	0.00	0.00	0.00	0.00	0.81
AT4G27160	AT4G27160.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G27170	AT4G27170.1	0.00	0.71	0.00	0.70	0.34	0.68
AT4G27180	AT4G27180.1	28.25	29.69	26.91	41.88	35.13	35.69
AT4G27190	AT4G27190.1	0.00	0.00	0.29	0.10	0.06	0.10
AT4G27200	AT4G27200.1	0.09	0.00	0.00	0.00	0.00	0.08
AT4G27210	AT4G27210.1	0.00	0.00	0.00	0.00	0.03	0.06
AT4G27220	AT4G27220.1	0.00	0.24	0.36	0.02	0.00	0.03
AT4G27230	AT4G27230.1,AT4G27230.2	46.80	52.02	56.34	66.93	59.48	46.82
AT4G27240	AT4G27240.1	2.66	0.60	1.19	2.12	1.54	1.67
AT4G27250	AT4G27250.1,AT4G27250.2	1.67	2.89	2.04	1.45	1.96	1.24
AT4G27260	AT4G27260.1	15.32	17.33	19.72	9.33	7.35	12.20
AT4G27270	AT4G27270.1	26.77	37.32	35.38	36.94	32.29	29.34
AT4G27280	AT4G27280.1	21.84	27.93	34.99	33.52	38.71	26.17
AT4G27290	AT4G27290.1	1.13	1.16	1.92	0.65	1.05	0.75
AT4G27300	AT4G27300.1	0.12	0.19	0.51	0.24	0.56	0.48
AT4G27310	AT4G27310.1	26.95	12.17	25.73	4.03	8.33	7.10
AT4G27320	AT4G27320.1	134.61	113.36	154.42	68.28	74.39	85.58
AT4G27330	AT4G27330.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G27340	AT4G27340.1	1.79	2.82	1.75	5.72	3.69	3.40
AT4G27350	AT4G27350.1	30.23	34.79	26.37	13.04	17.39	18.04
AT4G27360	AT4G27360.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G27370	AT4G27370.1	2.04	1.78	2.09	1.89	2.27	2.05
AT4G27380	AT4G27380.1	34.69	35.24	36.11	49.06	42.37	46.17
AT4G27390	AT4G27390.1	4.28	7.61	4.53	4.44	5.06	5.05
AT4G27395	AT4G27395.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G27400	AT4G27400.1	1.54	0.61	1.53	4.14	1.08	4.10
AT4G27410	AT4G27410.1,AT4G27410.2,AT4G27410.3	29.78	79.05	34.23	15.25	23.42	29.01
AT4G27415	AT4G27415.1,AT4G27415.2	0.00	0.00	0.00	0.00	0.00	0.00
AT4G27420	AT4G27420.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G27430	AT4G27430.1,AT4G27430.2	23.03	23.79	21.51	26.59	23.67	28.33
