,Geneid,gene_name,SRR3655795Aligned.sortedByCoord.out.bam,SRR3655801Aligned.sortedByCoord.out.bam,SRR3655791Aligned.sortedByCoord.out.bam,SRR3655798Aligned.sortedByCoord.out.bam,SRR3655797Aligned.sortedByCoord.out.bam,SRR3655799Aligned.sortedByCoord.out.bam,SRR3655793Aligned.sortedByCoord.out.bam,SRR3655800Aligned.sortedByCoord.out.bam,SRR3655802Aligned.sortedByCoord.out.bam,SRR3655792Aligned.sortedByCoord.out.bam,SRR3655794Aligned.sortedByCoord.out.bam,SRR3655796Aligned.sortedByCoord.out.bam
19534,igfbp5b,,575,423,445,403,403,548,386,1362,1075,1113,919,1424
19537,tns1b,,768,318,435,349,349,354,493,919,843,1090,1185,1738
19538,gpbar1,,49,28,32,96,96,71,22,153,76,68,55,94
19539,zgc:92380,,20,46,18,18,18,125,47,260,122,64,73,42
19540,arpc2,,3214,5024,2953,7102,7102,3848,3052,9490,12509,7506,7613,7652
19541,LOC797181,,13,11,15,1123,1123,55,24,116,23,19,33,22
19542,cxcr2,,12,35,28,3,3,37,39,108,77,73,107,28
19543,mettl5,,80,120,101,84,84,101,121,267,312,186,254,187
19544,klhl23,,14,27,14,16,16,17,11,54,70,58,47,49
19593,phgdh,,5,70,2,214,214,97,13,197,216,5,45,8
19594,ccdc173,,38,14,50,7,7,13,54,25,20,124,120,99
19595,fastkd1,,132,135,183,114,114,208,147,575,360,461,375,304
19596,klhl41a,,4,3,3,0,0,0,13,5,4,9,35,3
19597,bbs5,,18,67,13,38,38,53,24,135,139,43,48,46
19598,col28a2a,,22,12,0,0,0,0,0,1,42,0,0,42
19600,lrp2a,,1,10,5,26,26,11,3,17,35,1,9,0
19601,rdh1,,1293,1751,3135,376,376,2344,3921,5904,4515,7683,9980,3214
19602,dhrs9,,3685,3404,4301,1485,1485,3052,3802,7658,8617,10883,9523,8866
19603,abcb11a,,263,134,690,247,247,391,1080,980,369,1846,2856,642
19604,spc25,,27,204,17,93,93,94,46,220,530,52,112,53
19605,nostrin,,207,306,216,104,104,477,232,1147,773,540,559,446
19606,cers6,,2,4,0,3,3,12,0,21,12,11,2,7
19607,stk39,,4,11,1,3,3,5,1,25,16,5,7,14
19610,csrnp3,,6,1,7,4,4,4,0,14,7,8,0,7
19611,galnt3,,96,60,61,98,98,151,71,440,175,153,198,262
19612,ttc21b,,34,59,16,49,49,41,22,110,118,49,64,78
19614,slc38a11,,1,4,0,1,1,1,0,6,15,2,1,0
19615,cobll1b,,200,149,129,362,362,297,120,789,409,327,260,399
19616,grb14,,44,94,27,147,147,164,54,400,242,98,138,119
19620,ifih1,,113,141,82,317,317,217,110,487,350,286,304,291
19621,fap,,5,36,4,2451,2451,84,6,199,107,8,22,10
19622,gcgb,,18,75,0,216,216,79,7,152,207,3,15,30
19625,tank,,75,193,93,586,586,210,121,521,489,256,310,202
19626,LOC100333618,,26,14,18,35,35,25,20,70,32,47,65,56
19627,cd302,,304,421,264,782,782,457,351,1245,1016,676,838,746
