,Geneid,gene_name,SRR950087,SRR950082,SRR950086,SRR950080,SRR950085,SRR950078,SRR950079,SRR950083,SRR950081,SRR950084
5086,ENSG00000237922,RP11-478H16.1,0,0,0,1,1,0,0,1,1,0
5088,ENSG00000186197,EDARADD,5,85,86,108,7,104,4,16,9,116
5089,ENSG00000244457,ENO1P1,0,0,0,0,0,0,0,0,0,0
5090,ENSG00000116977,LGALS8,2531,2119,2749,3140,3464,3758,3962,4281,4073,4436
5091,ENSG00000223776,LGALS8-AS1,0,4,11,15,2,6,2,9,5,16
5092,ENSG00000273058,RP11-385F5.5,34,48,49,40,43,44,68,79,68,68
5093,ENSG00000230325,RP11-385F5.4,9,1,11,12,13,13,16,25,27,17
5094,ENSG00000119285,HEATR1,851,4212,5508,6148,1203,7059,1381,1466,1434,8144
5095,ENSG00000077522,ACTN2,2368,61,73,80,3548,102,4485,4633,4504,118
5096,ENSG00000116984,MTR,2127,5118,5926,7352,3489,8914,4096,4244,4209,10119
5097,ENSG00000226498,RP11-182B22.2,0,4,1,4,3,8,1,0,0,5
5098,ENSG00000237991,RPL35P1,0,8,6,10,2,3,3,2,5,29
5099,ENSG00000244020,MT1HL1,0,1,1,0,4,0,2,3,0,0
5100,ENSG00000198626,RYR2,6341,459,515,685,9364,685,11529,11854,11402,875
5101,ENSG00000252396,RN7SKP195,0,0,0,1,0,0,3,3,2,2
5102,ENSG00000266262,MIR4428,0,0,1,2,2,1,0,1,1,5
5103,ENSG00000252290,SNORA25,0,0,0,0,0,0,1,2,2,0
5104,ENSG00000237250,RP11-193H5.1,3,4,0,1,5,0,12,7,7,1
5105,ENSG00000116996,ZP4,0,1,1,3,0,4,0,0,0,2
5106,ENSG00000243781,RP11-193H5.2,0,0,0,0,0,0,0,0,0,0
5107,ENSG00000270188,MTRNR2L11,0,0,2,0,0,0,2,2,0,0
5115,ENSG00000215808,LINC01139,10,80,105,133,13,143,21,30,20,179
5116,ENSG00000231877,RP11-177F15.1,0,4,4,1,1,2,1,1,0,4
5117,ENSG00000215149,KRT18P32,0,0,3,0,0,0,1,0,0,0
5119,ENSG00000227854,RP11-307O1.1,0,2,0,0,0,3,0,0,0,2
5122,ENSG00000133019,CHRM3,1834,324,442,488,2457,521,2882,3109,3036,649
5123,ENSG00000233355,CHRM3-AS2,4,4,1,10,9,10,6,1,11,12
5124,ENSG00000234601,CHRM3-AS1,1,0,0,1,0,3,1,1,3,2
5125,ENSG00000231979,RP11-35L17.3,0,0,1,0,1,0,0,3,0,0
5126,ENSG00000215805,RP11-438O11.1,2,0,0,0,1,0,0,0,0,0
5127,ENSG00000217327,RPS7P5,0,0,0,0,0,0,1,2,0,0
5128,ENSG00000155816,FMN2,3716,152,199,209,5284,271,6134,6486,6101,314
5129,ENSG00000228818,RP11-567G24.1,3,8,5,9,13,11,14,19,23,13
5131,ENSG00000223694,ADH5P3,0,2,0,0,10,0,8,8,6,0
5132,ENSG00000233735,RP11-567G24.3,0,1,0,1,4,1,2,5,2,0
5134,ENSG00000233519,RP11-177F11.1,0,0,1,0,6,1,3,1,0,0
5135,ENSG00000268365,AL646016.1,0,0,0,0,1,0,3,3,4,0
5136,ENSG00000180875,GREM2,470,77,113,129,667,125,812,849,880,144
5139,ENSG00000231440,RP11-467I20.6,0,0,0,1,1,0,0,0,1,0
