	gene_id	gene_name	flight1	flight2	flight3	ground1	ground2	ground3
13672	AT3G24130	PME29	0.0	0.552569	0.266558	1.393638	1.762463	0.637936
13673	AT3G24140	FAMA	0.0	0.0	0.0	0.0	0.0	0.0
13674	AT3G24150	AT3G24150	8.609375	10.383663	7.507134	11.153236	14.523442	12.062488
13675	AT3G24160	PMP	221.276001	214.136246	222.116302	237.477081	229.368439	243.781738
13676	AT3G24170	ATGR1	152.556	241.78952	136.049133	216.40889	138.212769	222.872055
13677	AT3G24180	AT3G24180	49.918007	55.408703	44.834156	48.553452	48.335533	49.611725
13678	AT3G24190	AT3G24190	16.444532	30.107508	17.176579	24.708382	27.661562	26.320684
13679	AT3G24200	AT3G24200	19.523748	21.897259	21.075548	23.839853	26.269938	23.723812
13680	AT3G24210	AT3G24210	8.755482	10.489343	8.481031	8.186166	6.030606	6.532865
13681	AT3G24216	AT3G24216	0.0	0.0	0.0	0.0	0.0	0.0
13682	AT3G24220	NCED6	0.0	0.0	0.0	0.0	0.0	0.0
13683	AT3G24225	CLE19	0.0	0.0	0.0	0.0	0.0	0.0
13684	AT3G24230	AT3G24230	0.0	0.0	0.366912	0.0	0.0	0.0
13685	AT3G24240	RCH2	16.811472	19.82914	14.470596	22.932165	15.407885	15.38147
13686	AT3G24250	AT3G24250	0.0	0.0	0.0	0.0	0.0	0.0
13687	AT3G24255	AT3G24255	30.384447	28.138388	26.955645	25.295771	20.551065	21.476717
13688	AT3G24300	AMT1-3	54.260559	81.439919	62.624432	142.582794	104.300316	136.98291
13689	AT3G24310	MYB305	10.549941	5.898331	4.199403	0.927841	2.432402	2.59233
13690	AT3G24315	AtSec20	22.800053	19.071894	23.255014	20.390806	22.404583	21.03628
13691	AT3G24320	MSH1	1.233677	1.403398	2.729956	2.926018	1.713382	1.919324
13692	AT3G24330	AT3G24330	0.0	0.0	0.461885	0.0	0.427676	0.0
13693	AT3G24332	AT3G24332	0.0	0.0	0.0	0.0	0.0	0.0
13694	AT3G24340	CLSY4	0.929907	0.805809	0.83732	1.180047	0.760042	0.76643
13695	AT3G24350	SYP32	43.227478	47.11338	38.195469	51.903748	50.123959	51.347786
13696	AT3G24360	AT3G24360	1.354419	6.199255	1.93999	6.963009	4.151587	5.532506
13697	AT3G24365	AT3G24365	0.0	0.0	0.0	0.0	0.0	0.0
13698	AT3G24370	AT3G24370	0.0	0.0	0.0	0.0	0.0	0.0
