task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
111	0d/7bfcff	687534	markDuplicates (SRX1836012_SRR3655802)	COMPLETED	0	2023-01-10 10:03:48.701	5m 39s	5m 37s	101.5%	4.3 GB	11.4 GB	3.6 GB	1.5 GB
117	67/05816a	687539	markDuplicates (SRX1836011_SRR3655800)	COMPLETED	0	2023-01-10 10:03:58.483	5m 40s	5m 32s	105.5%	4.3 GB	11.4 GB	3.6 GB	1.5 GB
129	02/a3b75f	687549	preseq (SRX1836009_SRR3655796)	COMPLETED	0	2023-01-10 10:05:38.188	4m 10s	4m 1s	99.4%	20.3 MB	104.7 MB	1.1 GB	468.8 KB
123	41/de8d19	687545	markDuplicates (SRX1836007_SRR3655792)	COMPLETED	0	2023-01-10 10:04:08.510	5m 45s	5m 41s	103.1%	4.3 GB	11.4 GB	3.6 GB	1.5 GB
135	85/846862	687557	dupradar (SRX1836008_SRR3655794)	COMPLETED	0	2023-01-10 10:08:48.357	1m 50s	1m 46s	181.1%	230.4 MB	729.2 MB	6.5 GB	105.8 MB
136	11/618e33	687558	dupradar (SRX1836012_SRR3655802)	COMPLETED	0	2023-01-10 10:09:28.194	1m 55s	1m 50s	181.6%	231.4 MB	729.3 MB	6.7 GB	106.2 MB
137	af/4bd9f6	687559	dupradar (SRX1836011_SRR3655800)	COMPLETED	0	2023-01-10 10:09:38.461	1m 50s	1m 46s	181.9%	239.2 MB	705.7 MB	6.7 GB	106.2 MB
128	73/18e759	687550	markDuplicates (SRX1836009_SRR3655796)	COMPLETED	0	2023-01-10 10:05:38.597	6m	5m 52s	102.6%	4.3 GB	11.3 GB	3.6 GB	1.5 GB
139	50/79a28d	687585	dupradar (SRX1836009_SRR3655796)	FAILED	127	2023-01-10 10:11:38.238	4.9s	4ms	-	-	-	-	-
107	83/d2aa51	687528	rseqc (SRX1836008_SRR3655794)	ABORTED	-	2023-01-10 10:03:20.691	-	-	-	-	-	-	-
112	ff/b95474	687533	rseqc (SRX1836012_SRR3655802)	ABORTED	-	2023-01-10 10:03:48.636	-	-	-	-	-	-	-
119	da/8f822f	687541	rseqc (SRX1836011_SRR3655800)	ABORTED	-	2023-01-10 10:03:58.826	-	-	-	-	-	-	-
125	aa/dd7c52	687547	rseqc (SRX1836007_SRR3655792)	ABORTED	-	2023-01-10 10:04:08.868	-	-	-	-	-	-	-
132	c4/f981f2	687553	rseqc (SRX1836009_SRR3655796)	ABORTED	-	2023-01-10 10:05:39.029	-	-	-	-	-	-	-
138	6b/721134	687560	dupradar (SRX1836007_SRR3655792)	ABORTED	-	2023-01-10 10:09:53.246	-	-	-	-	-	-	-
