gene_name	Ensembl_ID	baseMean	log2FoldChange_condition_stage_sham_vs_sbs	lfcSE_condition_stage_sham_vs_sbs	stat_condition_stage_sham_vs_sbs	pvalue_condition_stage_sham_vs_sbs	padj_condition_stage_sham_vs_sbs	contrast_vector	outcome
nadk2	nadk2	143.386310273934	0.412426792287936	0.13596179441006	3.0334020970925	0.00241813159769945	0.00818427070333672	1	DE
nadka	nadka	230.251446712132	-2.90535344457752	0.624926823827992	-4.64910983782192	3.3337065734324e-06	2.36814272922648e-05	1	DE
nadkb	nadkb	1009.29118073471	0.276914550856344	0.124656662861123	2.22141796916902	0.0263226650747558	0.062504869294052	0	not_DE
NA	nadl1	124.3849796615	-2.1641806404877	0.693117140398859	-3.12238799814171	0.00179390347903328	0.00634303550022632	1	DE
nadsyn1	nadsyn1	403.036126297759	0.333969891579257	0.203685016889205	1.63963897138748	0.101080255033726	0.186480613853999	0	not_DE
nae1	nae1	560.384417218002	-0.256088460463419	0.229195588905422	-1.11733590374243	0.26385072956592	0.392223151234624	0	not_DE
naf1	naf1	152.047196288576	-0.0663986099945644	0.127183650923314	-0.522068752646517	0.601622461784806	0.71666677263526	0	not_DE
naga	naga	2005.10008725423	-1.00510277827777	0.259326114558926	-3.87582554108481	0.000106263802976395	0.000529534656278067	1	DE
nagk	nagk	1975.99531309217	0.404481967875794	0.217543773349347	1.85931300927767	0.0629827840669587	0.128041644752501	0	not_DE
naglu	naglu	68.8277838909026	0.122087650995538	0.20071359152204	0.608267980607242	0.543009753804812	0.666865678662433	0	not_DE
nagpa	nagpa	403.89485464142	-0.299489078469059	0.265050140429428	-1.12993367211138	0.258504174183044	0.386507485849522	0	not_DE
nags	nags	0.156819035885727	-1.0658964399162	3.09938203896495	-0.343906116288961	0.73091689199057	NA	0	not_DE
nags	nags_1	0.597460757176102	0.902132750838836	1.82221757212524	0.495074114441058	0.620547805243962	NA	0	not_DE
naif1	naif1	21.5454313433838	-0.0561691429977048	0.430558337940978	-0.130456521330693	0.896205251055567	0.935478666633977	0	not_DE
nalcn	nalcn	37.2968004390498	0.494406095659821	0.264733173775298	1.86756381381755	0.0618228942455934	0.126090112172145	0	not_DE
nampta	nampta	1377.32214440608	-1.1496052577819	0.499149314624098	-2.30312899186819	0.0212715865404735	0.0523335385236949	0	not_DE
namptb	namptb	1086.01037433388	-1.17646740704606	0.121012721829365	-9.7218489862987	2.4332233773521e-22	1.24752153848997e-20	1	DE
nanog	nanog	0.040579872800968	-0.1707364333975	3.11653965008542	-0.0547839760013386	0.956310566527917	NA	0	not_DE
nanos1	nanos1	36.8744145757939	-0.922970866446383	0.482211517469211	-1.9140373736621	0.0556153805260546	0.115846410014428	0	not_DE
nanos3	nanos3	0.585447898543772	-2.46399092720856	1.71246724075424	-1.43885434335277	0.150191795608978	NA	0	not_DE
nanp	nanp	59.0097879775241	0.550397060769539	0.233260178275454	2.3595843269895	0.0182954222154721	0.0461133118890171	1	DE
nansa	nansa	694.503095948871	0.131473601425345	0.160237531809991	0.82049192807866	0.411935728960003	0.546870099627182	0	not_DE
nansb	nansb	6085.34734815309	-0.146543133047994	0.473711353147449	-0.309351110279134	0.757054455901219	0.839120250026727	0	not_DE
nap1l1	nap1l1	6884.88318933005	0.622264062389767	0.1593912976219	3.90400273837954	9.46147092121119e-05	0.000478479558916504	1	DE
nap1l4a	nap1l4a	620.096592563535	0.0694226971829876	0.225262786283343	0.308185379078395	0.757941277196348	0.839881774612453	0	not_DE
nap1l4b	nap1l4b	572.737221112596	-0.820782634672963	0.198314015250873	-4.13880296677291	3.49122616267532e-05	0.000195876734771986	1	DE
napaa	napaa	83.5681008535445	-0.817564992749232	0.24888235113535	-3.28494563403018	0.0010200205148098	0.00390026034350117	1	DE
napab	napab	1128.97483076475	0.286466475803278	0.120542466145164	2.37647764281096	0.0174788205887397	0.0443743205868517	1	DE
napba	napba	3.56794153187677	-0.438355769395075	0.884086105380956	-0.495829271297263	0.620014871065658	0.731998274016251	0	not_DE
